index_number,description,sentiment_labels,sentiment_scores,intensity_scores,clusters
36,"During BJP’s 12-hour Bengal bandh, two men were injured in Bhatpara shootings aimed at a BJP youth wing member’s car, leading to eight arrests. Accusations flew between BJP's Arjun Singh and Trinamool's Ichini. Further clashes necessitated police intervention. Major business hubs faced disruptions, causing significant financial losses, but local transport remained largely unaffected.",negative,0.7764489650726318,-0.77,0
37,"The Hemant Soren government is accused of spying on ex-Jharkhand CM Champai Soren for five months, with elements of phone-tapping and a potential honeytrap. This surveillance involved Special Branch officers, who were detained briefly in Delhi. Champai, feeling sidelined for Hemant Soren, is reportedly set to join the BJP, according to Assam CM Himanta Sarma.",neutral,0.6404765248298645,-0.33,0
38,"A viral deepfake video falsely shows Virat Kohli criticizing Shubman Gill's potential. The AI-manipulated clip mimics Kohli's voice and expressions, questioning Gill's ability to become a legend. This incident is the second deepfake targeting Kohli this year. Kohli and Gill share a good rapport. Kohli is returning for the Test series against Bangladesh next month.",neutral,0.5589726567268372,-0.35,0
39,"Sebi has warned investors about fraudulent practices by promoters of SMEs, who artificially inflate stock prices through misleading information and corporate actions, then sell their holdings at high prices, leaving investors with worthless shares. The regulator highlighted recent actions against Debock Industries for such activities, urging caution in the SME space.",negative,0.6492505669593811,-0.64,0
40,"At a rally in Erie, Pennsylvania, Senator JD Vance strongly condemned Vice President Kamala Harris, blaming her for the deaths of 13 American service members during the 2021 Afghanistan withdrawal. He criticized her lack of action and accountability, accusing her of shifting blame onto Donald Trump instead of addressing the issues head-on. Neither Trump nor Harris campaigns have responded yet.",negative,0.8140442371368408,-0.81,0
41,"The cabinet committee on economic affairs has cleared the development of 12 new industrial cities with a total investment of Rs 28,600 crore. These cities will be spread across multiple states and are expected to generate around 10 lakh jobs. Basic infrastructure for these projects is aimed to be developed within three years.",positive,0.6327134966850281,0.63,2
42,"In Anakapalli, Andhra Pradesh, a chemical blast at a pharmaceutical unit killed 17 workers. The incident was triggered by a leak of methyl tert-butyl ether (MTBE), which went unattended during lunch. Despite detecting the leak earlier, it was not addressed until too late, causing the vapors to explode and resulting in severe casualties.",negative,0.8462495803833008,-0.84,0
43,"Vice President Kamala Harris and Tim Walz visited Liberty County High School, Georgia as part of their campaign tour. Harris interacted with students and encouraged them. They also stopped at a local restaurant. The campaign aims to connect with traditionally Republican areas and secure a victory in the battleground state ahead of the November election.",positive,0.6503246426582336,0.65,2
44,"The FBI disclosed that Thomas Crooks, 20, attempted to assassinate Donald Trump at a July rally in Pennsylvania after extensive research on both Trump and Biden. Nearly 1,000 interviews were conducted, but Crooks' motive remains unclear. Authorities highlighted his mixed ideologies and focus on opportunistic targets. An FBI official said that the suspected shooter exhibited a mix of ideologies and did not align strictly with either right-leaning or left-leaning views. ",negative,0.5495291948318481,-0.54,0
45,"On the 10th anniversary of the Jan Dhan scheme, PM Narendra Modi highlighted how Congress, despite nationalizing banks, failed to provide banking access to the poor. Modi emphasized that the initiative has significantly impacted SC, ST, and OBC families, making various social security schemes more effective and accessible to India's underserved communities.",neutral,0.6047511696815491,-0.14,0
46,"Pakistan-born Shazeb Khalid admitted to killing Indian restaurant manager Vignesh Pattabi-Raman in the UK on Valentine’s Day. Khalid, who denied intending to kill Raman, was allegedly hired to intimidate him. Raman was struck by Khalid’s car while cycling, leading to a murder charge against Khalid. ",negative,0.7713271975517273,-0.77,0
47,"During the first Council of Ministers meeting in his third term, Prime Minister Narendra Modi assured continued development at the same speed over the next five years. Secretaries presented blueprints for the future and 2047 ambitions. Modi emphasized the importance of using social media to disseminate information about governmental decisions to the public.",positive,0.751565158367157,0.75,-1
48,"Kamala Harris' presidential campaign has enlisted Brenda Abdelall, an Egyptian American lawyer and former Department of Homeland Security official, to engage Arab American voters. This step aims to address dissatisfaction within the community concerning U.S. backing of Israel in Gaza. Arab and Muslim American votes are crucial in key states like Michigan, where Harris is scheduled to visit.",neutral,0.7544941902160645,0.22,0
49,"The Competition Commission of India has approved the merger of Reliance Industries and Walt Disney India's media assets, with specific modifications. This merger aims to establish an $8.5-billion entertainment powerhouse to compete with Amazon, Netflix, and Sony Pictures Networks. The companies will divest several TV channels and cap advertisement prices for streamed cricket matches for approval.",neutral,0.7011407613754272,0.29,0
50,"The Supreme Court reprimanded Maharashtra's counsel in a land compensation case over a 'contemptuous' affidavit by a senior IAS officer. Alleging delaying tactics, the court noted the state failed to provide the current land value. The decision on whether to offer monetary compensation or an alternative land parcel remains unresolved.",negative,0.6957500576972961,-0.69,0
51,"Flipkart's new mandate for sellers to verify their GSTIN through OTP has caused concern among sellers, who fear it could lead to unauthorized access to their confidential data and sales on rival marketplaces. Flipkart stated that the OTP is for validating GST registration to prevent misuse of GST numbers by unauthorized persons.",neutral,0.5901026725769043,-0.38,0
52,"An anonymous blog by two professors at Russell Group universities reveals that a significant number of international students in the UK fall short of the required English skills to earn their degrees, yet they still receive them. This challenge predominantly impacts master’s programs and threatens the global reputation of UK's higher education.",negative,0.7459835410118103,-0.74,0
53,"Prince Harry's memoir, Spare, is set for a paperback release on October 24, the same day as King Charles's Commonwealth summit in Samoa. Royal experts are concerned this timing could revive tensions within the family. The release, without new content, may attract more readers, potentially overshadowing the King's commitments and reigniting controversy.",neutral,0.7822359204292297,-0.17,0
54,"Authorities in Satna district of Madhya Pradesh arrested three men and detained a minor after they allegedly pushed stray cattle into a swollen river, killing several animals. The incident took place in Bamhor village and was captured on video by a local. The suspects claimed frustration over crop damage by the cattle.",negative,0.8019271492958069,-0.8,0
55,"Last week, eight individuals, including four illegal immigrants, were arrested in Florida for allegedly stealing $7,300 worth of palmetto berries. The suspects loaded around 9,000 pounds of berries into a U-Hau. Brevard County Sheriff Wayne Ivey publicly criticised Washington DC lawmakers for their failure to enforce border security, emphasising that illegal immigration leads to further crimes. Ivey noted that some suspects had previously been deported and expressed frustration over the inability to deport individuals with pending court dates or nonviolent crimes.",negative,0.7633110880851746,-0.76,0
56,"Kolkata saw over 20 political demonstrations, one doctors' protest, and a citizens' march on Wednesday, indicating a political shift in the 'Justice for RG Kar' movement. The BJP's 12-hour bandh underscored this change, with clashes occurring but junior doctors marching towards Esplanade to demand justice for the Aug 9 RG Kar crime, despite disruptions.",neutral,0.8687000274658203,0.04,0
57,"Former county official Robert Telles has been convicted of murdering veteran journalist Jeff German after German published articles critical of him. The incident occurred in September 2022, outside German's home. Despite Telles's claims of being framed, DNA and video evidence implicated him. The jury's decision is seen as justice for German, who spent his career addressing issues like political corruption. The case highlights the peril journalists face while holding officials accountable.",negative,0.6264725923538208,-0.62,0
58,"In Bahraich, Uttar Pradesh, three elusive wolves have killed seven villagers and injured 22 others over 45 days. Despite continuous efforts from 25 forest department teams equipped with advanced tools, the wolves remain uncaptured. Officials are using innovative tactics, like spreading elephant dung, while villagers engage in prayers to drive away the threat.",negative,0.7746281027793884,-0.77,0
59,"Copyright © 2024 Bennett, Coleman & Co. Ltd. All rights reserved. For reprint rights: Times Syndication Service",neutral,0.957305073738098,0.01,0
60,"Copyright © 2024 Bennett, Coleman & Co. Ltd. All rights reserved.For reprint rights: Times Syndication Service",neutral,0.954856276512146,0.02,0
1,VIEW ALL,neutral,0.668006420135498,0.2,0
2,redeem,neutral,0.7704062461853027,0.1,0
3,REDEEM POINTS,neutral,0.807310163974762,0.05,0
4,KNOW MORE,neutral,0.72491055727005,0.1,0
5,English,neutral,0.7685852646827698,0.04,0
6,हिन्दी,neutral,0.7250784039497375,-0.2,0
7,मराठी,neutral,0.6669967770576477,-0.19,0
8,বাংলা ,neutral,0.7409612536430359,-0.04,0
9,ગુજરાતી,neutral,0.6754021048545837,-0.16,0
10,ಕನ್ನಡ,neutral,0.6584916710853577,-0.09,0
11,தமிழ்,neutral,0.622765302658081,-0.13,0
12,తెలుగు,neutral,0.716545581817627,0.01,0
13,മലയാളം,neutral,0.6478767991065979,-0.13,0
14,GadgetsNow,neutral,0.6926662921905518,0.24,0
15,"
                                     Read ePaper
                                 ",neutral,0.8222907185554504,0.01,0
16,Edit Profile,neutral,0.8288301229476929,0.0,0
17,My Subscription,neutral,0.8001710772514343,0.14,0
18,Redeem Benefits,neutral,0.7266333699226379,0.22,0
19,Read Other Epapers,neutral,0.8860723972320557,-0.0,0
20,"
                                                          The Economic Times
                                                        ",neutral,0.778708815574646,0.03,0
21,"
                                                          The Times Of India
                                                        ",neutral,0.7788754105567932,0.01,0
22,"
                                                          Mirror
                                                        ",neutral,0.7415951490402222,0.05,0
23,"
                                                          Maharashtra Times
                                                        ",neutral,0.7850481271743774,0.04,0
24,Epaper Preferences,neutral,0.7779641151428223,0.07,0
25,,neutral,0.6808650493621826,0.13,0
26,,neutral,0.6808650493621826,0.13,0
27,,neutral,0.6808650493621826,0.13,0
28,,neutral,0.6808650493621826,0.13,0
29,,neutral,0.6808650493621826,0.13,0
30,,neutral,0.6808650493621826,0.13,0
31,,neutral,0.6808650493621826,0.13,0
32,,neutral,0.6808650493621826,0.13,0
33,,neutral,0.6808650493621826,0.13,0
34,,neutral,0.6808650493621826,0.13,0
35,Briefs,neutral,0.6977993249893188,0.07,0
36,World,neutral,0.5976827144622803,0.22,0
37,Business,neutral,0.5561901330947876,0.22,0
38,Tech,neutral,0.5000767707824707,0.34,-1
39,Sports,neutral,0.6054787039756775,0.26,0
40,Entertainment,neutral,0.7082768082618713,0.19,0
41,TV,neutral,0.601172149181366,0.23,0
42,Lifestyle,neutral,0.6416477560997009,0.21,0
43,Photos,neutral,0.5317595601081848,0.35,-1
44,Education,neutral,0.6874499917030334,0.09,0
45,Science,neutral,0.4655415415763855,0.36,-1
46,Politics,neutral,0.6370735764503479,-0.01,-1
47,Elections,neutral,0.7180406451225281,-0.02,0
48,Briefs,neutral,0.6977993249893188,0.07,0
49,India,neutral,0.6222667098045349,0.27,0
50,Sports,neutral,0.6054787039756775,0.26,0
51,Entertainment,neutral,0.7082768082618713,0.19,0
52,TV,neutral,0.601172149181366,0.23,0
53,Lifestyle,neutral,0.6416477560997009,0.21,0
54,World,neutral,0.5976827144622803,0.22,0
55,Business,neutral,0.5561901330947876,0.22,0
56,Elections,neutral,0.7180406451225281,-0.02,0
57,,neutral,0.6808650493621826,0.13,0
58,News,neutral,0.6845576763153076,0.12,0
59,,neutral,0.6808650493621826,0.13,0
60,Lok Sabha polls: Congress gave Rs 70 lakh to Rahul Gandhi to contest election; this leader got highest but lost,neutral,0.674575924873352,-0.21,0
61,"Congress reported to the Election Commission that Rs 70 lakh each was given to prominent candidates, including Rahul Gandhi, for the 2024 Lok Sabha elections. Vikramaditya Singh received the highest allocation of Rs 87 lakh. The expenditure limit for candidates has recently been increased by the government, though political parties face no such restrictions.",neutral,0.8006152510643005,0.18,0
62,India,neutral,0.6222667098045349,0.27,0
63,,neutral,0.6808650493621826,0.13,0
64,India commissions INS Arighat: Know all about Navy's 2nd nuclear-powered submarine,neutral,0.8790212869644165,0.1,0
65,"India has bolstered its strategic deterrence by commissioning INS Arighat, its second nuclear-powered submarine with nuclear-tipped ballistic missiles. Armed with K-15 missiles and nearly 112 meters long, INS Arighat joins INS Arihant to enhance India's nuclear triad. This marks a crucial step in strengthening India's military capabilities and long-term strategic plans.",positive,0.6525961756706238,0.65,2
66,India,neutral,0.6222667098045349,0.27,0
67,,neutral,0.6808650493621826,0.13,0
68,Enraged passenger smashes computers at airport. He was sold fake American Airlines ticket,negative,0.7900791764259338,-0.78,0
69,"A Haitian man was detained at Santiago's Nuevo Pudahuel Airport in Chile after causing $20,000 worth of damage. He went on a rampage with a hammer when he realized the American Airlines ticket sold to him was fake. The incident was caught on camera and the man went on smashing the computers and screaming. He was later handed over to police after being restrained by airport security. ",negative,0.845318078994751,-0.84,0
70,World,neutral,0.5976827144622803,0.22,0
71,,neutral,0.6808650493621826,0.13,0
72,"Chhattisgarh HC orders continuation of minor rape survivor's pregnancy, asks state to facilitate birth and adoption",neutral,0.7265850305557251,-0.23,0
73,"The Chhattisgarh High Court has decided not to permit termination of a minor rape survivor's pregnancy at 31 weeks, citing higher medical risks and legal constraints. The govt will cover the costs of childbirth and provide adoption assistance if needed. The pregnancy resulted from a December 2023 incident revealed in May 2024.",neutral,0.5013689994812012,-0.48,0
74,,neutral,0.6808650493621826,0.13,0
75,'It would've been given not out if...': South Africa ace recalls Suryakumar Yadav's decisive T20 World Cup catch,neutral,0.8911558985710144,0.06,0
76,"South African spinner Tabraiz Shamsi humorously reflected on a pivotal moment from the 2024 T20 World Cup final, where Suryakumar Yadav's catch won India the title. Shamsi shared a video showing an unconventional method to measure catches, sparking debate on social media about the legitimacy of the catch. Despite the controversy, it remains a highlight of the tournament.",positive,0.5777260065078735,0.57,-1
77,Sports,neutral,0.6054787039756775,0.26,0
78,,neutral,0.6808650493621826,0.13,0
79,Delhi court grants bail to murder suspect after 6 years in custody,neutral,0.5121703743934631,-0.44,0
80,"A Delhi court has granted bail to Narender Mann, accused in the 2018 murder of Bablu Kheda in Ashok Vihar. Mann remains in custody due to other charges. The court noted only 2 of 39 witnesses have been examined, indicating a lengthy trial ahead. Bail conditions include a Rs 25,000 bond and non-interference with witnesses.",neutral,0.8164414167404175,-0.14,0
81,India,neutral,0.6222667098045349,0.27,0
82,,neutral,0.6808650493621826,0.13,0
83,Big blow to Jagan Reddy as 2 YSRCP MPs quit Rajya Sabha; likely to join Naidu's TDP,negative,0.4950339794158935,-0.47,0
84,"Two YSRCP Rajya Sabha MPs, Beedha Mastan Rao Jadhav and Venkataramana Rao Mopidevi, resigned, weakening Jaggan Mohan Reddy's party. Their resignations may lead them to join TDP. Mopidevi, upset over being denied an assembly ticket, confirmed his intent to quit before resigning. TDP may secure all by-election seats unopposed. Jagdeep Dhankhar has accepted their resignation, the sources said.",neutral,0.7993852496147156,-0.14,0
85,India,neutral,0.6222667098045349,0.27,0
86,,neutral,0.6808650493621826,0.13,0
87,Is UK planning to ban smoking? Here's what PM Starmer said,neutral,0.9081565737724304,0.05,0
88,"British Prime Minister Keir Starmer has announced plans for more stringent anti-smoking measures, which could ban smoking in outdoor areas like pubs and restaurants. The Labour government aims to reduce smoking-related deaths and healthcare costs. Additionally, they plan to reintroduce legislation to gradually raise the tobacco purchasing age, potentially making smoking illegal for future generations.",neutral,0.8166254758834839,0.08,0
89,World,neutral,0.5976827144622803,0.22,0
90,,neutral,0.6808650493621826,0.13,0
91,"Police kills man on Piscataqua River Bridge, body of an 8-yr-old found from his car",negative,0.5318852663040161,-0.52,0
92,"On Thursday morning, police shot dead a man on the I-95 bridge connecting Maine and New Hampshire and then found a body of an eight-year-old in his car. The man was believed to be in the run after killing a woman in Troy, New Hampshire. The bridge is now closed for investigation, with authorities indicating no threat to the public.",negative,0.6202195882797241,-0.61,0
93,World,neutral,0.5976827144622803,0.22,0
94,,neutral,0.6808650493621826,0.13,0
95,BJP challenges J&K political families for open debate on terrorism,neutral,0.7014482617378235,-0.26,0
96,"The BJP has challenged the NC, PDP, and Congress to an open debate on terrorism, public security, and Article 370, criticizing their tenure in the 1990s. The BJP highlights a reduction in terrorism and casualties since Article 370's abrogation in 2019, asserting their zero tolerance for terrorism and improved security measures.",neutral,0.7874106764793396,-0.08,0
97,India,neutral,0.6222667098045349,0.27,0
98,,neutral,0.6808650493621826,0.13,0
99,Frustrated Suryakumar Yadav apologises for his 'dangerous' bowling at Buchi Babu tournament. Watch,negative,0.6359673142433167,-0.62,0
100,"Suryakumar Yadav's bowling was highlighted in Mumbai's Buchi Babu tournament match against TNCA XI when he delivered a high full toss that nearly injured a fielder. Despite this, Mumbai struggled, posting 156 in contrast to TNCA XI's 350. Yadav considers these matches vital for his Test team aspirations ahead of the Bangladesh series.",neutral,0.6673254370689392,-0.18,0
101,Sports,neutral,0.6054787039756775,0.26,0
102,,neutral,0.6808650493621826,0.13,0
103,Karnataka high court rejects CBI plea to probe deputy CM DK Shivakumar in illegal assets case,neutral,0.6038127541542053,-0.37,0
104,"The Karnataka high court denied the CBI's request to investigate deputy chief minister DK Shivakumar over illegal assets. The ruling was due to the case representing a dispute between the central and state governments. Consequently, the court concluded that the matter should be taken to the Supreme Court for resolution. ",negative,0.5274404883384705,-0.52,0
105,India,neutral,0.6222667098045349,0.27,0
106,,neutral,0.6808650493621826,0.13,0
107,'Nothing left to live for ... ': Heartbroken Gujarat man shares viral post of drowned Audi and other cars,negative,0.8870131969451904,-0.88,-1
108,"A devastated Vadodara resident in Gujarat shared photos of his submerged cars, including an Audi A6, Ford EcoSport, and Maruti Suzuki Ciaz, lost to flooding. Severe rain has left the city waterlogged and forced over 18,000 residents to evacuate, highlighting the recurring issue of urban flooding and its impact on city life.",negative,0.8159731030464172,-0.81,0
109,India,neutral,0.6222667098045349,0.27,0
110,,neutral,0.6808650493621826,0.13,0
111,Venezuelan gang takes over a Colorado apartment? Truth behind viral video,neutral,0.7448117733001709,-0.22,0
112,"A chilling video of armed men holding an apartment complex in Colorado hostage has gone viral, preceding a shootout that injured several. Suspected to be the work of the Venezuelan Tren de Aragua mob, the incident has prompted residents to consider relocating. Aurora City Council member Danielle Jurinsky said everyone is helping the migrants but it's the Americans who are trapped in these apartments. ",negative,0.6454233527183533,-0.64,0
113,World,neutral,0.5976827144622803,0.22,0
114,,neutral,0.6808650493621826,0.13,0
115,'BJP carrying out hooliganism': Tejashwi defends Mamata amid protests over Kolkata rape-murder case,negative,0.7347623109817505,-0.73,0
116,"Tejashwi Yadav defended Mamata Banerjee amid allegations of mishandling the Kolkata doctor rape-murder case, accusing the BJP of stirring unrest in West Bengal. He claimed the BJP is disrupting peace across the state, while highlighting that most rape cases occur in BJP-ruled Uttar Pradesh and Bihar. Mamata warned of adverse outcomes if BJP instigated trouble in Bengal.",negative,0.5908897519111633,-0.58,0
117,India,neutral,0.6222667098045349,0.27,0
118,,neutral,0.6808650493621826,0.13,0
119,"Assam passes Bill abolishing Muslim marriages, divorce act; govt registration now mandatory",neutral,0.8064431548118591,-0.08,0
120,"The Assam Assembly has passed a bill requiring government registration of Muslim marriages and divorces, replacing a 1935 law. The new legislation aims to prevent child marriages, ensure consent, protect women's rights, and curb polygamy. Previous registrations by Qazis remain valid, while new marriages must meet specific conditions to be registered.",neutral,0.8879797458648682,0.08,0
121,India,neutral,0.6222667098045349,0.27,0
122,,neutral,0.6808650493621826,0.13,0
123,Kolkata rape-murder case: Bengal government convenes special assembly session to pass anti-rape bill on Sept 2,neutral,0.6202979683876038,-0.35,0
124,"West Bengal government plans a special assembly session to introduce a Bill mandating capital punishment for convicted rapists, following a recent rape and murder case in Kolkata. The Bill is set for discussion on September 2. Chief Minister Mamata Banerjee aims to amend existing laws to expedite justice in such cases.",neutral,0.8856852054595947,-0.06,0
125,India,neutral,0.6222667098045349,0.27,0
126,,neutral,0.6808650493621826,0.13,0
127,Russia opens fraud case against former deputy defence minister,negative,0.6716600060462952,-0.66,0
128,"Russia's Investigative Committee opened a fraud case against ex-deputy defence minister Pavel Popov, accusing him of diverting building materials from Patriot Park for personal use. Several properties worth over 500 million roubles are under investigation. Popov joins other officials in a wave of corruption probes within the military, following key dismissals by President Putin.",negative,0.7121629118919373,-0.7,0
129,World,neutral,0.5976827144622803,0.22,0
130,,neutral,0.6808650493621826,0.13,0
131,'Revenge politics': BJP writes to Bengal governor over Mamata's 'if Bengal burns' statement,neutral,0.6175450086593628,-0.35,0
