Index,Title,Description,Area of News,Title_English
16,"पुतिन जाएंगे मंगोलिया, सवाल- क्या उनकी गिरफ्तारी होगी: इंटरनेशनल कोर्ट ने कार्रवाई का आदेश दिया, रूस ने कहा- हमें फिक्र नहीं",,,"We're going to go to Mongolia, the question-to-do will be their arrest: The Supreme Court ordered action, Russia said, we don't care."
17,"सेहतनामा- भोजन, भजन और चिकित्सा तीनों से शहद का रिश्ता: घाव, मुंहासे से दिल-दिमाग तक, सबके लिए लाभकारी, 10 बड़े फायदे",,,"Health - feeding, Psalm, and medical care are related to honey: wound, heart - to the heart, to the heart, to the brain, to all, to the great benefits, 10"
18,"राजकुमार राव ने मां की पायल को संभालकर रखा: बोले- वह हमेशा मेरी आंखों के सामने रहती है, स्त्री का जन्मदिन से खास कनेक्शन है",,,"Prince Rave handled Mother's Pave: ""She's always in front of my eyes, woman has a special connection with birthday."
19,'बिग बॉस' कंट्रोवर्सी पर बोले अनूप जलोटा...किया कन्यादान: लखनऊ की बेटी को बताया 'आवाज का पटाखा'; भोजपुरी पर कहा- अश्लीलता से बचें,,,"""Biig boss,"" said at the Controver on the Contétrico... tell the girl of Lachuu's daughter; 'the vendell of the bride; the banquet hall to avoid indecency."
20,"जब फेलियर से डील नहीं कर पाए राजेश खन्ना: कहा था- डिंपल को लगा कि पागल हो गया हूं, शराब की लत लग गई थी",,,"When Felder couldn't do the deal, he said: ""Errhe felt that I was crazy, I was addicted to alcohol"
21,"रिलेशनशिप- क्या आप भी हर छोटी-छोटी बात भूलने लगे हैं कैसे बढ़ाएं मेमोरी, हेल्दी लाइफस्टाइल जरूरी, साइकोलॉजिस्ट के 10 जरूरी सुझाव",,,"Relationshipship - Do you too forget every small thing? How much more memory memory, Hendry Lifesthel, 10 Required Suggestions of Cyknoology"
22,"जरूरत की खबर-5 लोग कर सकेंगे एक UPI का इस्तेमाल: आया नया फीचर UPI सर्किल, बिना बैंक अकाउंट के चलेगा UPI",,,"A UP-5 people can use an UPIE: The new feature has arrived in UPIC, without a bank account, UPI"
23,"सेहतनामा- क्या धरती से पूरी तरह खत्म हो जाएंगे पुरुष: मेल जेंडर के लिए जरूरी Y क्रोमोजोम विलुप्ति की ओर, क्या कहती है स्टडी",,,Men will be completely eliminated from the earth: The study of Y chromoum for the mail Alexander
24,"करक्शन के साथ आवेदन फार्म भी कर सकेंगे विड्रो: आज से करें अप्लाई, 6 सितम्बर लास्ट डेट; प्रोग्रामर एग्जाम 27 अक्टूबर को",,,"Vidro also can do the application form with the application:ate from today, 6 September 1st date; programr Adams October"
25,"सरकारी नौकरी: झारखंड फील्ड वर्कर भर्ती परीक्षा के लिए आवेदन की आखिरी तारीख आज, 10वीं पास तुरंत करें अप्लाई",,,"The government job: the last date for the application to be tested, now near the 10th"
26,"देश के टॉप 10 डेंटल कॉलेज: लगातार तीसरी बार पहले नंबर पर चेन्नई का सविता इंस्टीट्यूट, जामिया मिलिया इस्लामिया 8वें रैंक पर",,,"Top of the country 10nd college: A third time at a number of times, Dr."
27,वॉरेन बफेट क्यों रखते हैं 16 लाख करोड़ कैश: सबसे बड़े इन्वेस्टर ने 50 की उम्र के बाद बनाई 99% संपत्ति; नाश्ते में लेते हैं बर्गर और कोक,,,Vegeters 16 million tons of cash: the biggest Inveter created 99%s of property after 50 years of age; we're at breakfast and kicker.
28,"भास्कर एक्सक्लूसिवहरियाणा, जम्मू-कश्मीर में BJP का डाउनफाल RSS के लिए चैलेंज: केरल में बनेगा प्लान- लोकसभा चुनाव में जो हुआ, फिर न हो",,,"Brother Schaskar Xavier Szymmus, BPHM's RMS in SMMMM: Makes it up to Kerals in Kerals: In Kerals, where you're going to be on a plan together choice, don't be around again."
29,पेपर लीक-5इलाज बिना मां की मौत हुई तो डॉक्‍टरी की ठानी: सरकारी कॉलेज लायक नंबर भी लाया; NEET पेपर लीक से रिक्‍शा चलाने को मजबूर,,,"To my mother's death without paper leak-5 percent, Dockants decided to bring a government college number; NEET paper leaks, forceing it to switch."
30,"लॉर्ड्स टेस्ट में इंग्लैंड 256 रन से आगे: एटकिंसन और रूट ने लगाई सेंचुरी, फर्नांडो को 5 विकेट; श्रीलंका 196 रन बनाकर ऑलआउट",,,"Lords Testing from England 256 run: Attensive and roots it puts out 5 Widded to Fernandado; Sri Lanka built 196 run, H. H. H."
31,26 साल के ऑस्ट्रेलियाई बैटर विल पुकोवस्की का संन्यास: सिर में ज्यादा चोट लगने के कारण फैसला लिया; विंडीज के गैब्रिएल भी रिटायर,,,"John, 26 - year - old Australian Battovsky, decided to get more hurt in his head; also retired to the unknown of the winds."
32,"विमेंस वर्ल्ड कप के बाद टी-20 कप्तानी छोड़ेंगी सोफी डिवाइन: वर्कलोड मैनेज करने के लिए लिया फैसला, वनडे में कप्तानी जारी रखेंगी",,,"After World War II, T-20 captains will leave T-20 Captain Sophii: decide to manage the work load, Captainy will continue in the forest."
33,PM मोदी भारत मंडपम पहुंचे: जिला अदालतों की नेशनल कॉन्फ्रेंस का उद्घाटन करेंगे; राष्ट्रपति 1 अगस्त को समापन कार्यक्रम पर भाषण देंगी,,,PMRCH India Manmondum arrived: Life courts will bring about the development of internationalization; President August 1 will speak on August 1 of August 1
34,महाराष्ट्र में कांग्रेस ने 2 विधायकों को पार्टी से निकाला: विधान परिषद चुनाव में क्रास वोटिंग की थी; इनमें से एक MLA भाजपा में शामिल,,,"In the main nation of the Congress, Congress drove out 2 judges from the party: The Council choice had Crossing; one of these included MLAMA"
35,केरल में RSS की 3 दिन की बैठक शुरू: लोकसभा चुनाव के नतीजे और बांग्लादेश में हिंदुओं की स्थिति पर चर्चा हो सकती है,,,"A 3 - day meeting of RS in Kerala will start: The public meeting will result in a choice, and Bangladesh will discuss the situation of Hindus."
36,"जर्मनी ने 28 अफगानियों को उनके देश वापस भेजा: मदद के लिए 1000 यूरो भी दिए, इन पर कई अपराधों में शामिल होने का आरोप",,,"Germany sent 28 mine back to their homeland: The numbers of 1,000 people involved in several crimes."
37,"पाकिस्तान की तरफ बढ़ रहा चक्रवात आसना: 65 किमी/घंटा की रफ्तार से चल रही हवाएं, कराची से 170 किमी दूर",,,"Moving forward to Pakistan: 65 miles [70 km] from Karachi, 170 m"
38,"ऑयल टैंकर पर हूती विद्रोहियों के हमले का वीडियो वायरल: ग्रीस के टैंकर पर एक साथ 6 विस्फोट किए, समुद्र में तेल फैलने का खतरा",,,"A video of an attack by the Nazis: 6 explosions at Greece's tank, the threat of oil spread across the sea"
39,"इस हफ्ते सोने-चांदी में रही तेजी: सोना 543 रुपए बढ़कर 71,958 रुपए पर पहुंचा, चांदी 85,019 रुपए प्रति किलो बिक रही",,,"Sleeping during the week: Gold increased by 5,526 feet [1,525 m], the silver was sold to 85,500 pounds [25 kg]"
40,"सरकार ने आज से क्रूड ऑयल पर विंडफॉल टैक्स घटाया: ₹2,100 से घटाकर ₹1,850 प्रति मीट्रिक टन किया, डीजल, पेट्रोल और ATF पर छूट बरकरार",,,"From now on, the windsow tax dropped on Kleu Odul: Desk2,100 to 850 Metric tons, deese, gas, and ATF"
41,"पेट्रोल-डीजल के दाम में आज कोई बदलाव नहीं: अब एक UPI अकाउंट से 5 लोग कर सकेंगे पेमेंट, अप्रैल-जून तिमाही में GDP ग्रोथ घटकर 6.7%",,,"No change in price of fuel-duffle: now 5 from a UPIRE to 5 people, GDP Grown Out in April - Los Angeles, 6.7%"
