Index,Title,Description,Area of news,Prediction,Real_Prob,Fake_Prob,Cluster
25,When Kamala Harris' father disapproved of her 'identity politics' in 2019,"A Marxist economist, emeritus professor of Stanford University, Donald J Harris was was made a senior economic advisor of the Jamaican government in the early 1990s. But now Donald J Harris stays in Washington DC, near to the White House with Carol Kirlew, Kamala Harris' step mother. Donald J Harris wanted to stay out of the political hullabaloo but this campaign, he is being dragged every time Kamala Harris' ethnicity, political leaning is on the radar.",World,Real,0.5003429353237152,0.499657079577446,0
26,"Sex ratio dips in Delhi, but cases under sex determination act also low","Delhi's sex ratio at birth has decreased from 929 females per 1,000 males in 2022 to 922 in 2023. Only 19 cases were registered under the PCPNDT Act in the past three years. The health department is planning stricter enforcement and broader registration for pathological and genetic labs to address the issue.",City,Real,0.5014798790216446,0.4985201358795166,0
27,2 things Kamala Harris practising for debate preparation: Remain calm and...,"​Kamala Harris has been asked to remain calm and instead focus on talking about Donald Trump's presidency. Harris may bring up issues like Trump's response to Covid pandemic, failure to get Mexico to pay for the southern border wall etc. Her team is preparing herself for situation when Trump attacks her personally, but she has to sidestep that. Harris' team also plans to emphasize on Trump's advanced age and lack of details on policy proposals.",World,Real,0.5181620121002197,0.4818379729986191,0
28,"NRAI felicitates Paris Olympic medallists, gives cash awards","The National Rifle Association of India organized a felicitation ceremony in New Delhi to honor Indian shooters who excelled at the Paris Olympics. Manu Bhaker, Swapnil Kusale, and Sarabjot Singh were awarded cash prizes for their bronze medals. Notable dignitaries like Randhir Singh and Kalikesh Singh Deo attended, and support staff were also recognized.",Sports,Real,0.514197438955307,0.4858025759458542,0
29,Did Barron say he earned respect of those willing to sacrifice for country?,"A screenshot claiming to show a message from Barron Trump, asserting he has earned the respect of those willing to sacrifice for the country, is not from an official account. Trump spokesperson and Melania Trump's office confirmed that Barron has no active social media presence and did not make such a statement. The post appears on an account named “Barron Trump New,” which is not affiliated with the Trump campaign.",World,Fake,0.492911234498024,0.5070887356996536,0
30,"Who is Durek Verrett, Norway's clairvoyant princess getting married to?","African-American shaman Durek Verrett believes cancer is a choice and has once recommended some exercises to remove imprints from women's vaginas left by previous partners. The Hollywood's shaman will be the husband to Norway's princess Martha Louise who is a clairvoyant and teaches students to do miracles, talk to angels.",World,Real,0.5087977796792984,0.4912022352218628,0
31,"Nasa removes 2 astronauts to accommodate Sunita, Butch stranded at ISS","Nasa plans to remove two astronauts from a SpaceX mission to make room for two ISS astronauts, Sunita Williams and Butch Wilmore, who will return early due to safety concerns with their Boeing Starliner capsule. The adjustments ensure their February return with Nick Hague and Aleksandr Gorbunov, while other astronauts are deferred to future flights.  The agency said that factors such as spaceflight experience were considered in making this decision.",World,Fake,0.4787251949310303,0.5212748646736145,0
32,"Waqf Bill: Centre, oppn caught in heated exchange at Parliament panel meet","At a Joint Parliamentary Committee meeting, the Centre and opposition clashed over the Waqf (Amendment) Bill. The removal of the 'Waqf by user' provision raised concerns about the security of properties in Uttar Pradesh. The session saw heated exchanges and a brief walkout. More discussions are scheduled for September 5-6.",India,Fake,0.4921015352010727,0.5078984647989273,0
33,'Still not able to believe...': Preeti after winning bronze at Paris Paralympics,"Indian para athlete Preeti Pal secured a bronze medal in the 100m T35 event at the Paris Paralympics with a personal best of 14.21 seconds. China's Xia Zhou and Qianqian Guo won gold and silver respectively. The Indian contingent's strong start also includes medals from Avani Lekhara, Mona Agarwal, and Manish Narwal in shooting events.",Sports,Real,0.5094840377569199,0.49051597714424133,0
34,South Africa ace defends comments on Suryakumar catch after backlash,"South African spinner Tabraiz Shamsi took to social media to clarify his joke about a key moment from the 2024 T20 World Cup final. He humorously suggested Suryakumar Yadav’s decisive catch might have been ruled not out using an unconventional method. The comment received backlash, prompting Shamsi to clarify it was a joke.",Sports,Real,0.504970520734787,0.495029479265213,0
35,Strangers lock crying child in plane's bathroom in China,"Two women, irritated by a crying child on a Juneyao Airlines flight, took the child from her grandmother and locked her in the restroom. The incident, which occurred on August 24 and was filmed by one of the women, led to public outrage when posted on social media. The airline later apologized for the crew's negligence.",World,Fake,0.4924631863832474,0.5075367987155914,0
36,Russia says 'not worried' as Ukraine urges Mongolia to arrest Putin,Ukraine urges Mongolia to arrest Russian President Vladimir Putin under an International Criminal Court warrant during his visit. The ICC accuses Putin of war crimes and illegal deportation of children from Ukraine. Russia dismisses concerns over Mongolia's ICC membership. The warrant obliges member states to arrest Putin if he travels to their country.,World,Real,0.5101736634969711,0.48982635140419006,0
37,PM Modi congratulates Preeti Pal for winning bronze at Paris Paralympics,"Indian sprinter Preeti Pal earned the bronze medal in the women's 100m T35 event at the Paris 2024 Paralympic Games, clocking a personal best of 14.21 seconds. This accomplishment follows her bronze at the 2024 World Para Athletics Championship, contributing to India's growing Paralympic medal haul and showcasing the nation's commitment to para-sports.",Sports,Real,0.5008411556482315,0.4991588592529297,0
38,Zelenskyy proposes summit in India to push plan to end Russia-Ukraine war,"Ukrainian President Zelenskiyy has proposed an India-held summit to address the war with Russia. During  PM Modi's visit to Ukraine, Zelenskiyy sought support for a second leaders' meeting before the US elections, aiming for broader backing from the Global South. India remains cautious regarding the summit due to Russia's exclusion.",India,Fake,0.47760753333568573,0.5223924815654755,0
39,Omar Abdullah on NC's 'sacrifice' for pre-poll alliance with Congress in J&K,"National Conference vice president Omar Abdullah highlighted the challenge of forming a pre-poll alliance with Congress for the Jammu and Kashmir assembly elections, mentioning that it required sacrificing seats where they had strong prospects. The alliance aims to address past injustices and benefit all citizens of Jammu and Kashmir by collectively opposing their formidable adversaries.",India,Fake,0.49398504197597504,0.5060149431228638,0
40,'Hawk Tuah Girl' launches 'dream' animal foundation after viral fame,"Hailey Welch, famed as 'Hawk Tuah Girl,' has started her animal foundation, Paws Across America. Announced on social media, the 22-year-old seeks to aid animal charities across the US with awareness, advocacy, and financial help. Welch showcased her initial visit to a Tennessee animal shelter, with her video gaining ample attention online. She shares intentions to leverage her popularity and resources to support animals, emphasising adoption. Welch's announcement quickly gained traction, with her video amassing over 260,000 views on X and nearly 700,000 on Instagram.",World,Real,0.505265086889267,0.4947349280118942,0
41,200 days of farmers protest: Vinesh Phogat to join agitation at Shambhu and Khanauri borders,"Marking 200 days of the farmers' protest, Olympian Vinesh Phogat is set to join the agitation at Shambhu and Khanauri borders on Saturday. Farmers demand legal guarantees for Minimum Support Price for crops. Vinesh, disqualified from the Paris Olympics, hints at a possible return to wrestling, despite her previous announcement of retirement.",India,Real,0.5164868235588074,0.4835132211446762,0
42,"Johnny Gaudreau, brother killed by car in NJ, day before sister's wedding","Columbus Blue Jackets player Johnny Gaudreau and his brother Matthew died in a biking accident in New Jersey, allegedly involving a drunk driver. The driver has been arrested. Gaudreau's team issued a heartfelt statement. Johnny Gaudreau was an established NHL player with a lengthy career including nine seasons with the Calgary Flames before joining the Blue Jackets.",World,Fake,0.4334256649017334,0.5665743052959442,0
43,Who is Barry Stanton whose anti-Indian posts led to his ban on X?,"The X account of Barry Stanton, with a verified status and over 1.8 lakh followers, was suspended after Indian users raised alarms about its offensive content towards Indian immigrants and other ethnicities. The account had been on the platform since before Twitter rebranded as X, and its authenticity remains ambiguous with speculation that it might have been a parody.",World,Fake,0.4783688187599182,0.5216311514377594,0
44,"Once compared to Virat, Pak batter decides against domestic participation","Ahmed Shehzad criticized the Pakistan Cricket Board and announced his withdrawal from the Domestic Cricket Champions Cup via X (formerly Twitter). He highlighted PCB's favouritism, ineffective mentors, and poor player selection as reasons for Pakistan cricket's decline, pointing to a historic home defeat against Bangladesh as evidence. He emphasized that the real issue lies with PCB's lack of vision.",Sports,Fake,0.49152421951293945,0.5084757506847382,0
45,MEA slams CNN for its report suggesting India's involvement in B'desh flood,"The ministry of external affairs dismissed CNN's claims of India's role in Bangladesh floods, labelling the report as misleading and incorrect. MEA spokesperson Randhir Jaiswal stressed the ongoing data and information exchange between the two countries. He cited excessive rainfall and communication breakdown for the dam-related issues, denying any deliberate actions from India.",India,Fake,0.4868694990873337,0.5131304860115051,0
46,Government taking policy measures to promote fintech sector: PM Modi,"Addressing the Global Fintech Fest 2024, Prime Minister Narendra Modi stated that the government is implementing policy changes to promote the fintech sector, such as removing the Angel Tax. He urged regulators to prevent cyber fraud and highlighted fintech's role in fostering financial inclusion and transparency, noting USD 31 billion investments in the past decade.",Business,Fake,0.4898277223110199,0.5101722627878189,0
47,China's house prices to drop sharply by 8.5% in 2024,"Housing prices in China are anticipated to decline more sharply in the next two years, despite Beijing's efforts to stabilize the market. Forecasted drops are 8.5 per cent for 2024. Shrinking property sales and investments, coupled with economic uncertainty and limited developer funding, exacerbate the prolonged property crisis that began in 2021.",Business,Fake,0.4864645153284073,0.5135354995727539,0
48,Conman Sukesh Chandrasekhar gets bail in AIADMK symbol case,"Delhi Court granted bail to Sukesh Chandrasekhar in the AIADMK symbol bribery case. However, he remains in custody due to other cases. Sukesh, however, will not be released from prison as he is accused in multiple cases. Last month, he received bail in a 2015 cheating case involving Rs 19 crore through a fraudulent investment scheme. He has spent over seven years in jail awaiting trial for that case.",India,Fake,0.47589802742004395,0.524101972579956,0
49,'How much will you harass Muslims?': Oppn to Himanta,"Assam CM Himanta Biswa Sarma is criticized for eliminating the Jumma break from state assemblies, with opposition leaders accusing him of targeting Muslims and inciting hatred. AIUDF MLA Mazibur Rahman, RJD leader Tejashwi Yadav, and CPI (M) leader Hannan Mollah have all spoken out against the decision, calling it anti-national and dangerous.",India,Fake,0.48040297627449036,0.519597053527832,0
